No,H,B,t1,t2,r,F,A,Ix,Z,Zp,unit_m,category
1,400,200,8,13,13,235,0.008337071,0.000234566,0.000973865,0.001312659,65.44600611,design
2,446,199,8,12,13,235,0.008297071,0.000281338,0.001008764,0.001422748,65.13200611,cost
3,340,250,9,14,13,235,0.009953071,0.000212277,0.00109469,0.001382234,78.13160611,design
4,450,200,9,14,13,235,0.009543071,0.000328873,0.001183226,0.001651677,74.91310611,cost
5,496,199,9,14,13,235,0.009929071,0.000408344,0.001305316,0.001869181,77.94320611,cost
6,400,200,9,19,13,235,0.011003071,0.000316215,0.001380173,0.001768485,129.5611592,design
7,500,200,10,16,13,235,0.011225071,0.000468114,0.001499785,0.002129885,88.11680611,cost
8,400,200,9,22,13,235,0.012149071,0.000352987,0.001573499,0.001973757,143.0553092,design
9,600,200,11,17,13,235,0.013171071,0.000755569,0.001926584,0.002903812,103.3929061,cost
10,440,300,11,18,13,235,0.015389071,0.000547314,0.002186902,0.002756527,120.8042061,design
11,488,300,11,18,13,235,0.015917071,0.000688593,0.00244558,0.003132201,124.9490061,cost
12,450,250,12,25,13,235,0.017445071,0.000634741,0.002511574,0.003164843,205.4157092,design
13,450,250,12,28,13,235,0.018873071,0.000690838,0.002774261,0.003447865,222.2304092,design
14,500,200,12,25,13,325,0.015545071,0.000662865,0.002258333,0.003014719,183.0432092,design
15,588,300,12,20,13,235,0.018721071,0.001143501,0.003293442,0.00434824,146.9604061,cost
16,500,300,12,22,13,325,0.018817071,0.0008567,0.003018118,0.003811263,221.5710092,design
17,500,250,12,28,13,325,0.019473071,0.000875152,0.003122635,0.003927192,229.2954092,design
18,588,300,12,20,13,325,0.018721071,0.001143501,0.003293442,0.00434824,146.9604061,cost
19,500,300,12,25,13,325,0.020545071,0.000945157,0.0033875,0.004202219,241.9182092,design
20,500,300,16,28,13,325,0.024049071,0.00106046,0.003747162,0.004785128,283.1778092,design
21,550,300,16,28,13,325,0.024849071,0.001314913,0.004165565,0.005396355,292.5978092,design
22,600,300,12,28,13,325,0.023473071,0.001546765,0.004584235,0.005731646,276.3954092,design
23,700,300,13,24,18,325,0.023154124,0.001974907,0.004702299,0.006338338,181.7598732,cost
24,600,300,16,32,13,325,0.027921071,0.00176575,0.005167445,0.006640441,328.7706092,design
25,750,300,14,25,18,325,0.025078124,0.002405337,0.005258333,0.007248724,295.2949099,cost
26,700,300,14,28,18,325,0.026094124,0.00223748,0.005422144,0.007184813,307.2583099,design
27,700,350,14,25,18,325,0.026878124,0.002343324,0.005697917,0.007474271,316.4899099,design
28,750,300,14,28,18,325,0.026794124,0.002613175,0.005841308,0.007845916,315.5008099,cost
29,700,300,14,32,18,325,0.028382124,0.002471071,0.006124325,0.007915861,334.1995099,design
30,750,350,14,25,18,325,0.027578124,0.002733983,0.006134722,0.008154974,324.7324099,cost
31,850,250,16,32,18,325,0.028854124,0.003367396,0.00630085,0.009123368,339.7573099,cost
32,700,350,14,28,18,325,0.028894124,0.002553772,0.006325835,0.008125613,340.2283099,design
33,750,350,14,28,18,325,0.029594124,0.002978257,0.006814859,0.008856716,348.4708099,cost
34,850,350,16,25,18,325,0.030578124,0.003704926,0.007008578,0.009888881,360.0574099,cost
35,700,350,14,32,18,325,0.031582124,0.002828324,0.007145045,0.008984661,371.8795099,design
36,850,300,16,32,18,325,0.032054124,0.003902969,0.00756102,0.010432168,377.4373099,cost
37,800,300,16,36,18,325,0.033526124,0.003704773,0.007885728,0.010471254,394.7701099,cost
38,700,350,16,36,18,325,0.035526124,0.003137325,0.007943904,0.010030148,418.3201099,design
39,800,400,16,28,18,325,0.034582124,0.003925745,0.008347435,0.010962887,407.2045099,cost
40,750,350,16,36,18,325,0.036326124,0.003661203,0.00857183,0.010928301,427.7401099,design
41,850,350,16,32,18,325,0.035254124,0.004438541,0.00882119,0.011740968,415.1173099,cost
42,800,350,16,36,18,325,0.037126124,0.004230488,0.009200016,0.011846454,437.1601099,design
43,800,400,16,32,18,325,0.037654124,0.004345492,0.009442645,0.012098415,443.3773099,design+cost
44,850,400,16,32,18,325,0.038454124,0.004974113,0.01008136,0.013049768,452.7973099,cost
45,1000,350,19,32,18,325,0.040462124,0.006607497,0.010498492,0.015132099,476.4415099,cost
46,800,400,16,36,18,325,0.040726124,0.004756203,0.010514304,0.013221654,479.5501099,design
47,950,350,19,36,18,325,0.042160124,0.00639,0.011085719,0.015299076,496.4354599,cost
48,800,400,19,40,18,325,0.045958124,0.00525129,0.011562667,0.014721406,541.1569099,design
49,1000,350,19,36,18,325,0.043110124,0.007181502,0.011714573,0.016364954,507.6217099,cost
50,850,400,19,40,18,325,0.046908124,0.006016282,0.012360157,0.015882234,552.3431599,design
51,1000,350,19,40,18,325,0.045758124,0.007745686,0.012909867,0.017587218,538.8019099,cost
52,900,400,19,40,18,325,0.047858124,0.00683991,0.013157926,0.017066812,563.5294099,design
53,1000,400,19,36,18,325,0.046710124,0.008018257,0.013388083,0.018100154,550.0117099,cost
54,950,400,19,40,18,325,0.048808124,0.007723359,0.01395593,0.01827514,574.7156599,design+cost
