No,H,B,t,r,F,A,Ix,Iy,Zp,unit_m,base_K,Mpx,Mpy
1,200,200,9,22.5,295,0.006598,0.0000392,0.0000392,0.000465,51.7943,112845.5285,92.79971735,92.79971735
2,200,200,12,30,295,0.00853,0.0000486,0.0000486,0.000588,66.9605,112845.5285,140.0351917,140.0351917
3,250,250,9,22.5,295,0.008398,0.0000798,0.0000798,0.00075,65.9243,112845.5285,177.0628846,177.0628846
4,250,250,12,30,295,0.01093,0.000101,0.000101,0.000959,85.8005,112845.5285,256.1394153,256.1394153
5,250,250,16,40,295,0.0141,0.000124,0.000124,0.00121,110.685,112845.5285,392.645,392.645
6,300,300,12,30,295,0.01333,0.000181,0.000181,0.00142,104.6405,112845.5285,460.79,460.79
7,300,300,16,40,295,0.0173,0.000226,0.000226,0.00181,135.805,112845.5285,587.345,587.345
8,300,300,19,47.5,295,0.02012,0.000255,0.000255,0.00207,157.942,112845.5285,671.715,671.715
9,350,350,12,30,295,0.01573,0.000294,0.000294,0.00197,123.4805,170731.7073,639.265,639.265
10,350,350,16,40,295,0.0205,0.000372,0.000372,0.00253,160.925,170731.7073,820.985,820.985
11,350,350,19,47.5,295,0.02392,0.000424,0.000424,0.00291,187.772,170731.7073,944.295,944.295
12,350,350,22,55,295,0.0272,0.000471,0.000471,0.00327,213.52,170731.7073,1061.115,1061.115
13,400,400,16,40,295,0.0237,0.000571,0.000571,0.00337,186.045,284552.8455,1093.565,1093.565
14,400,400,19,47.5,295,0.02772,0.000654,0.000654,0.0039,217.602,284552.8455,1265.55,1265.55
15,400,400,22,55,295,0.0316,0.00073,0.00073,0.00439,248.06,284552.8455,1424.555,1424.555
16,400,400,25,62.5,295,0.03535,0.0008,0.0008,0.00486,277.4975,284552.8455,1577.07,1577.07
17,450,450,16,40,295,0.0269,0.000829,0.000829,0.00433,211.165,671544.7154,1405.085,1405.085
18,450,450,19,47.5,295,0.03152,0.000955,0.000955,0.00502,247.432,671544.7154,1628.99,1628.99
19,450,450,22,55,295,0.036,0.00107,0.00107,0.00568,282.6,671544.7154,1843.16,1843.16
20,450,450,25,62.5,295,0.04035,0.00118,0.00118,0.0063,316.7475,671544.7154,2044.35,2044.35
21,500,500,19,47.5,295,0.03532,0.00134,0.00134,0.00629,277.262,1071544.715,2041.105,2041.105
22,500,500,22,55,295,0.0404,0.0015,0.0015,0.00713,317.14,1071544.715,2313.685,2313.685
23,500,500,25,62.5,295,0.04535,0.00166,0.00166,0.00794,355.9975,1071544.715,2576.53,2576.53
24,500,500,28,70,295,0.05017,0.00181,0.00181,0.0087,393.8345,1071544.715,2823.15,2823.15
25,550,550,19,47.5,295,0.03912,0.00181,0.00181,0.0077,307.092,1310569.106,2498.65,2498.65
26,550,550,22,55,295,0.0448,0.00204,0.00204,0.00875,351.68,1310569.106,2839.375,2839.375
27,550,550,25,62.5,295,0.05035,0.00226,0.00226,0.00976,395.2475,1310569.106,3167.12,3167.12
28,550,550,28,70,295,0.05577,0.00246,0.00246,0.0107,437.7945,1310569.106,3472.15,3472.15
29,600,600,22,77,325,0.04837,0.00261,0.00261,0.0103,379.7045,1604878.049,3682.25,3682.25
30,600,600,25,87.5,325,0.05428,0.00288,0.00288,0.0114,426.098,1604878.049,4075.5,4075.5
31,600,600,28,98,325,0.06003,0.00314,0.00314,0.0125,471.2355,1604878.049,4468.75,4468.75
32,600,600,32,112,325,0.06743,0.00345,0.00345,0.0139,529.3255,1604878.049,4969.25,4969.25
33,600,600,36,126,325,0.07454,0.00372,0.00372,0.0152,585.139,1604878.049,5434,5434
34,600,600,40,140,325,0.08136,0.00397,0.00397,0.0164,638.676,1604878.049,5863,5863
35,650,650,25,87.5,325,0.05928,0.00374,0.00374,0.0136,465.348,1604878.049,4862,4862
36,650,650,28,98,325,0.06563,0.00407,0.00407,0.0149,515.1955,1604878.049,5326.75,5326.75
37,650,650,32,112,325,0.07383,0.00449,0.00449,0.0166,579.5655,1604878.049,5934.5,5934.5
38,650,650,36,126,325,0.08174,0.00487,0.00487,0.0182,641.659,1604878.049,6506.5,6506.5
39,650,650,40,140,325,0.08936,0.00521,0.00521,0.0197,701.476,1604878.049,7042.75,7042.75
40,700,700,25,87.5,325,0.06428,0.00474,0.00474,0.016,504.598,1604878.049,5720,5720
41,700,700,28,98,325,0.07123,0.00518,0.00518,0.0176,559.1555,1604878.049,6292,6292
42,700,700,32,112,325,0.08023,0.00573,0.00573,0.0196,629.8055,1604878.049,7007,7007
43,700,700,36,126,325,0.08894,0.00623,0.00623,0.0215,698.179,1604878.049,7686.25,7686.25
44,700,700,40,140,325,0.09736,0.00669,0.00669,0.0233,764.276,1604878.049,8329.75,8329.75
45,750,750,28,98,325,0.07683,0.00647,0.00647,0.0204,603.1155,1604878.049,7293,7293
46,750,750,32,112,325,0.08663,0.00717,0.00717,0.0228,680.0455,1604878.049,8151,8151
47,750,750,36,126,325,0.09614,0.00782,0.00782,0.025,754.699,1604878.049,8937.5,8937.5
48,750,750,40,140,325,0.1054,0.00842,0.00842,0.0272,827.39,1604878.049,9724,9724
49,800,800,32,112,325,0.09303,0.00884,0.00884,0.0262,730.2855,1604878.049,9366.5,9366.5
50,800,800,36,126,325,0.1033,0.00966,0.00966,0.0289,810.905,1604878.049,10331.75,10331.75
51,800,800,40,140,325,0.1134,0.0104,0.0104,0.0314,890.19,1604878.049,11225.5,11225.5
52,850,850,32,112,325,0.09943,0.0107,0.0107,0.0299,780.5255,1604878.049,10689.25,10689.25
53,850,850,36,126,325,0.1105,0.0118,0.0118,0.033,867.425,1604878.049,11797.5,11797.5
