No,H,B,t,r,F,A,Ix,Iy,Zp,unit_m,base_K,Mpx,Mpy
6,300,300,12,30,295,0.01333,0.000181,0.000181,0.00142,104.6405,112845.5285,460.79,460.79
10,350,350,16,40,295,0.0205,0.000372,0.000372,0.00253,160.925,170731.7073,820.985,820.985
13,400,400,16,40,295,0.0237,0.000571,0.000571,0.00337,186.045,284552.8455,1093.565,1093.565
21,500,500,19,47.5,295,0.03532,0.00134,0.00134,0.00629,277.262,1071544.715,2041.105,2041.105
26,550,550,22,55,295,0.0448,0.00204,0.00204,0.00875,351.68,1310569.106,2839.375,2839.375
29,600,600,22,77,325,0.04837,0.00261,0.00261,0.0103,379.7045,1604878.049,3682.25,3682.25
35,650,650,25,87.5,325,0.05928,0.00374,0.00374,0.0136,465.348,1604878.049,4862,4862
40,700,700,25,87.5,325,0.06428,0.00474,0.00474,0.016,504.598,1604878.049,5720,5720
45,750,750,28,98,325,0.07683,0.00647,0.00647,0.0204,603.1155,1604878.049,7293,7293
49,800,800,32,112,325,0.09303,0.00884,0.00884,0.0262,730.2855,1604878.049,9366.5,9366.5
