no,i_point,j_point,phi,phi2,C,M,Q,category,story,boundary_i,boundary_j
1,1,2,1.3,1.6,60.45,95.4,51,BB,1,fix,fix
2,2,3,1.3,1.6,121.1,191.41,78.93,BB,1,fix,fix
3,3,4,1.3,1.6,121.1,191.41,78.93,BB,1,fix,fix
4,4,5,1.3,1.6,121.1,191.41,78.93,BB,1,fix,fix
5,6,7,1.3,1.6,94.5,151.2,75.6,BB,1,fix,fix
6,7,8,1.3,1.6,198.72,317.6,123.98,BB,1,fix,fix
7,8,9,1.3,1.6,198.72,317.6,123.98,BB,1,fix,fix
8,9,10,1.3,1.6,198.72,317.6,123.98,BB,1,fix,fix
9,11,12,1.3,1.6,60.45,95.4,51,BB,1,fix,fix
10,12,13,1.3,1.6,157.35,247.45,101.05,BB,1,fix,fix
11,13,14,1.3,1.6,157.35,247.45,101.05,BB,1,fix,fix
12,14,15,1.3,1.6,121.1,191.41,78.93,BB,1,fix,fix
13,16,17,1.3,1.6,79.73,121.27,56,BB,1,fix,fix
14,17,18,1.3,1.6,79.73,121.27,56,BB,1,fix,fix
15,1,6,1.3,1.6,96.22,151.42,67.32,BB,1,fix,fix
16,6,11,1.3,1.6,96.22,151.42,67.32,BB,1,fix,fix
17,2,7,1.3,1.6,160.59,256.13,107.35,BB,1,fix,fix
18,7,12,1.3,1.6,160.59,256.13,107.35,BB,1,fix,fix
19,12,16,1.3,1.6,9.21,14.4,16.05,BB,1,fix,fix
20,3,8,1.3,1.6,163.3,261.27,108.86,BB,1,fix,fix
21,8,13,1.3,1.6,163.3,261.27,108.86,BB,1,fix,fix
22,13,17,1.3,1.6,11.81,18.9,18.9,BB,1,fix,fix
23,4,9,1.3,1.6,163.3,261.27,108.86,BB,1,fix,fix
24,9,14,1.3,1.6,163.3,261.27,108.86,BB,1,fix,fix
25,14,18,1.3,1.6,9.21,14.4,16.05,BB,1,fix,fix
26,5,10,1.3,1.6,100.66,159.15,70.27,BB,1,fix,fix
27,10,15,1.3,1.6,100.66,159.15,70.27,BB,1,fix,fix
28,19,20,1.3,1.6,60.45,95.4,51,,2,fix,fix
29,20,21,1.3,1.6,121.1,191.41,78.93,,2,fix,fix
30,21,22,1.3,1.6,121.1,191.41,78.93,,2,fix,fix
31,22,23,1.3,1.6,121.1,191.41,78.93,,2,fix,fix
32,24,25,1.3,1.6,94.5,151.2,75.6,,2,fix,fix
33,25,26,1.3,1.6,198.72,317.6,123.98,,2,fix,fix
34,26,27,1.3,1.6,198.72,317.6,123.98,,2,fix,fix
35,27,28,1.3,1.6,198.72,317.6,123.98,,2,fix,fix
36,29,30,1.3,1.6,60.45,95.4,51,,2,fix,fix
37,30,31,1.3,1.6,157.35,247.45,101.05,,2,fix,fix
38,31,32,1.3,1.6,157.35,247.45,101.05,,2,fix,fix
39,32,33,1.3,1.6,121.1,191.41,78.93,,2,fix,fix
40,34,35,1.3,1.6,79.73,121.27,56,,2,fix,fix
41,35,36,1.3,1.6,79.73,121.27,56,,2,fix,fix
42,19,24,1.3,1.6,96.22,151.42,67.32,,2,fix,fix
43,24,29,1.3,1.6,96.22,151.42,67.32,,2,fix,fix
44,20,25,1.3,1.6,160.59,256.13,107.35,,2,fix,fix
45,25,30,1.3,1.6,160.59,256.13,107.35,,2,fix,fix
46,30,34,1.3,1.6,9.21,14.4,16.05,,2,fix,fix
47,21,26,1.3,1.6,163.3,261.27,108.86,,2,fix,fix
48,26,31,1.3,1.6,163.3,261.27,108.86,,2,fix,fix
49,31,35,1.3,1.6,11.81,18.9,18.9,,2,fix,fix
50,22,27,1.3,1.6,163.3,261.27,108.86,,2,fix,fix
51,27,32,1.3,1.6,163.3,261.27,108.86,,2,fix,fix
52,32,36,1.3,1.6,9.21,14.4,16.05,,2,fix,fix
53,23,28,1.3,1.6,100.66,159.15,70.27,,2,fix,fix
54,28,33,1.3,1.6,100.66,159.15,70.27,,2,fix,fix
55,37,38,1.3,1.6,58.99,93.11,49.77,,3,fix,fix
56,38,39,1.3,1.6,118.68,187.78,77.29,,3,fix,fix
57,39,40,1.3,1.6,118.68,187.78,77.29,,3,fix,fix
58,40,41,1.3,1.6,118.68,187.78,77.29,,3,fix,fix
59,42,43,1.3,1.6,58.99,93.11,49.77,,3,fix,fix
60,43,44,1.3,1.6,154.1,242.53,98.9,,3,fix,fix
61,44,45,1.3,1.6,154.1,242.53,98.9,,3,fix,fix
62,45,46,1.3,1.6,118.68,187.78,77.29,,3,fix,fix
63,47,48,1.3,1.6,59.18,92.57,40.19,,3,fix,fix
64,48,49,1.3,1.6,59.18,92.57,40.19,,3,fix,fix
65,37,42,1.2,1.4,459.42,701.82,168.3,,3,fix,fix
66,38,43,1.2,1.4,870,1341.04,306.75,,3,fix,fix
67,43,47,1.3,1.6,8.98,14.05,15.66,,3,fix,fix
68,39,44,1.2,1.4,955.93,1480.61,333.06,,3,fix,fix
69,44,48,1.3,1.6,14.75,23.28,24.89,,3,fix,fix
70,40,45,1.2,1.4,955.93,1480.61,333.06,,3,fix,fix
71,45,49,1.3,1.6,8.98,14.05,15.66,,3,fix,fix
72,41,46,1.2,1.4,552.1,851.5,197.42,,3,fix,fix
73,50,51,1.3,1.6,58.99,93.11,49.77,,4,fix,fix
74,51,52,1.3,1.6,118.68,187.78,77.29,,4,fix,fix
75,52,53,1.3,1.6,118.68,187.78,77.29,,4,fix,fix
76,53,54,1.3,1.6,118.68,187.78,77.29,,4,fix,fix
77,55,56,1.3,1.6,58.99,93.11,49.77,,4,fix,fix
78,56,57,1.3,1.6,154.1,242.53,98.9,,4,fix,fix
79,57,58,1.3,1.6,154.1,242.53,98.9,,4,fix,fix
80,58,59,1.3,1.6,118.68,187.78,77.29,,4,fix,fix
81,60,61,1.3,1.6,59.18,92.57,40.19,,4,fix,fix
82,61,62,1.3,1.6,59.18,92.57,40.19,,4,fix,fix
83,50,55,1.2,1.4,459.42,701.82,168.3,,4,fix,fix
84,51,56,1.2,1.4,870,1341.04,306.75,,4,fix,fix
85,56,60,1.3,1.6,8.98,14.05,15.66,,4,fix,fix
86,52,57,1.2,1.4,955.93,1480.61,333.06,,4,fix,fix
87,57,61,1.3,1.6,14.75,23.28,24.89,,4,fix,fix
88,53,58,1.2,1.4,955.93,1480.61,333.06,,4,fix,fix
89,58,62,1.3,1.6,8.98,14.05,15.66,,4,fix,fix
90,54,59,1.2,1.4,552.1,851.5,197.42,,4,fix,fix
91,63,64,1.3,1.6,58.99,93.11,49.77,,5,fix,fix
92,64,65,1.3,1.6,118.68,187.78,77.29,,5,fix,fix
93,65,66,1.3,1.6,118.68,187.78,77.29,,5,fix,fix
94,66,67,1.3,1.6,118.68,187.78,77.29,,5,fix,fix
95,68,69,1.3,1.6,58.99,93.11,49.77,,5,fix,fix
96,69,70,1.3,1.6,154.1,242.53,98.9,,5,fix,fix
97,70,71,1.3,1.6,154.1,242.53,98.9,,5,fix,fix
98,71,72,1.3,1.6,118.68,187.78,77.29,,5,fix,fix
99,73,74,1.3,1.6,59.18,92.57,40.19,,5,fix,fix
100,74,75,1.3,1.6,59.18,92.57,40.19,,5,fix,fix
101,63,68,1.2,1.4,459.42,701.82,168.3,,5,fix,fix
102,64,69,1.2,1.4,870,1341.04,306.75,,5,fix,fix
103,69,73,1.3,1.6,8.98,14.05,15.66,,5,fix,fix
104,65,70,1.2,1.4,955.93,1480.61,333.06,,5,fix,fix
105,70,74,1.3,1.6,14.75,23.28,24.89,,5,fix,fix
106,66,71,1.2,1.4,955.93,1480.61,333.06,,5,fix,fix
107,71,75,1.3,1.6,8.98,14.05,15.66,,5,fix,fix
108,67,72,1.2,1.4,552.1,851.5,197.42,,5,fix,fix
109,76,77,1.3,1.6,58.43,92.2,49.32,,6,fix,fix
110,77,78,1.3,1.6,117.5,185.87,76.55,,6,fix,fix
111,78,79,1.3,1.6,117.5,185.87,76.55,,6,fix,fix
112,79,80,1.3,1.6,117.5,185.87,76.55,,6,fix,fix
113,81,82,1.3,1.6,58.43,92.2,49.32,,6,fix,fix
114,82,83,1.3,1.6,152.22,239.57,97.7,,6,fix,fix
115,83,84,1.3,1.6,152.22,239.57,97.7,,6,fix,fix
116,84,85,1.3,1.6,117.5,185.87,76.55,,6,fix,fix
117,86,87,1.3,1.6,58.72,91.83,39.91,,6,fix,fix
118,87,88,1.3,1.6,58.72,91.83,39.91,,6,fix,fix
119,76,81,1.2,1.4,454.64,694.49,166.59,,6,fix,fix
120,77,82,1.2,1.4,859.39,1324.68,303.01,,6,fix,fix
121,82,86,1.3,1.6,8.91,13.94,15.55,,6,fix,fix
122,78,83,1.2,1.4,944.27,1462.55,329,,6,fix,fix
123,83,87,1.3,1.6,14.61,23.05,24.66,,6,fix,fix
124,79,84,1.2,1.4,944.27,1462.55,329,,6,fix,fix
125,84,88,1.3,1.6,8.91,13.94,15.55,,6,fix,fix
126,80,85,1.2,1.4,546.27,842.47,195.39,,6,fix,fix
127,89,90,1.3,1.6,57.87,91.31,48.87,,7,fix,fix
128,90,91,1.3,1.6,116.31,183.97,75.81,,7,fix,fix
129,91,92,1.3,1.6,116.31,183.97,75.81,,7,fix,fix
130,92,93,1.3,1.6,116.31,183.97,75.81,,7,fix,fix
131,94,95,1.3,1.6,57.87,91.31,48.87,,7,fix,fix
132,95,96,1.3,1.6,150.34,236.61,96.49,,7,fix,fix
133,96,97,1.3,1.6,150.34,236.61,96.49,,7,fix,fix
134,97,98,1.3,1.6,116.31,183.97,75.81,,7,fix,fix
135,99,100,1.3,1.6,58.25,91.08,39.62,,7,fix,fix
136,100,101,1.3,1.6,58.25,91.08,39.62,,7,fix,fix
137,89,94,1.2,1.4,449.86,687.17,164.88,,7,fix,fix
138,90,95,1.2,1.4,848.78,1308.33,299.27,,7,fix,fix
139,95,99,1.3,1.6,8.84,13.83,15.44,,7,fix,fix
140,91,96,1.2,1.4,932.61,1444.49,324.94,,7,fix,fix
141,96,100,1.3,1.6,14.47,22.83,24.43,,7,fix,fix
142,92,97,1.2,1.4,932.61,1444.49,324.94,,7,fix,fix
143,97,101,1.3,1.6,8.84,13.83,15.44,,7,fix,fix
144,93,98,1.2,1.4,540.44,833.44,193.36,,7,fix,fix
145,102,103,1.3,1.6,60.68,95.81,51.12,,8,fix,fix
146,103,104,1.3,1.6,122.25,193.48,79.51,,8,fix,fix
147,104,105,1.3,1.6,122.25,193.48,79.51,,8,fix,fix
148,105,106,1.3,1.6,122.25,193.48,79.51,,8,fix,fix
149,107,108,1.3,1.6,60.68,95.81,51.12,,8,fix,fix
150,108,109,1.3,1.6,159.74,251.4,102.52,,8,fix,fix
151,109,110,1.3,1.6,159.74,251.4,102.52,,8,fix,fix
152,110,111,1.3,1.6,122.25,193.48,79.51,,8,fix,fix
153,112,113,1.3,1.6,60.57,94.79,41.06,,8,fix,fix
154,113,114,1.3,1.6,60.57,94.79,41.06,,8,fix,fix
155,102,107,1.2,1.4,473.77,723.8,173.43,,8,fix,fix
156,103,108,1.2,1.4,901.83,1390.1,317.97,,8,fix,fix
157,108,112,1.3,1.6,9.19,14.39,16,,8,fix,fix
158,104,109,1.2,1.4,990.9,1534.78,345.25,,8,fix,fix
159,109,113,1.3,1.6,15.17,23.95,25.56,,8,fix,fix
160,105,110,1.2,1.4,990.9,1534.78,345.25,,8,fix,fix
161,110,114,1.3,1.6,9.19,14.39,16,,8,fix,fix
162,106,111,1.2,1.4,569.58,878.58,203.51,,8,fix,fix
163,115,116,1.3,1.6,81.81,130.25,66.73,,9,fix,fix
164,116,117,1.3,1.6,169.91,270.79,107.57,,9,fix,fix
165,117,118,1.3,1.6,169.91,270.79,107.57,,9,fix,fix
166,118,119,1.3,1.6,169.91,270.79,107.57,,9,fix,fix
167,120,121,1.3,1.6,81.81,130.25,66.73,,9,fix,fix
168,121,122,1.3,1.6,251.82,396.33,161.62,,9,fix,fix
169,122,123,1.3,1.6,251.82,396.33,161.62,,9,fix,fix
170,123,124,1.3,1.6,169.91,270.79,107.57,,9,fix,fix
171,125,126,1.3,1.6,72.67,115.21,46.95,,9,fix,fix
172,126,127,1.3,1.6,72.67,115.21,46.95,,9,fix,fix
173,115,120,1.2,1.4,674.33,1032.23,243.18,,9,fix,fix
174,116,121,1.2,1.4,1421.7,2191.45,501.28,,9,fix,fix
175,121,125,1.3,1.6,11.03,17.49,18.29,,9,fix,fix
176,117,122,1.2,1.4,1562.13,2419.53,544.27,,9,fix,fix
177,122,126,1.3,1.6,20.45,32.56,33.37,,9,fix,fix
178,118,123,1.2,1.4,1562.13,2419.53,544.27,,9,fix,fix
179,123,127,1.3,1.6,11.03,17.49,18.29,,9,fix,fix
180,119,124,1.2,1.4,818.13,1265.36,287.58,,9,fix,fix
