no,i_point,j_point,story,load_area,wall_load_length
1,1,19,1,10.8,6.6
2,2,20,1,24.66,6.85
3,3,21,1,27.72,7.7
4,4,22,1,27.72,7.7
5,5,23,1,13.86,7.45
6,6,24,1,21.6,7.2
7,7,25,1,49.32,0
8,8,26,1,55.44,0
9,9,27,1,55.44,0
10,10,28,1,27.72,7.2
11,11,29,1,10.8,6.6
12,12,30,1,30.43,4.5
13,13,31,1,39.27,0
14,14,32,1,33.49,5.35
15,15,33,1,13.86,7.45
16,16,34,1,5.78,5.35
17,17,35,1,11.55,7.7
18,18,36,1,5.78,5.35
19,19,37,2,21.6,10.2
20,20,38,2,49.32,6.85
21,21,39,2,55.44,7.7
22,22,40,2,55.44,7.7
23,23,41,2,27.72,11.05
24,29,42,2,21.6,10.2
25,30,43,2,55.09,4.5
26,31,44,2,66.99,0
27,32,45,2,61.22,5.35
28,33,46,2,27.72,11.05
29,34,47,2,5.78,5.35
30,35,48,2,11.55,7.7
31,36,49,2,5.78,5.35
32,37,50,3,21.6,10.2
33,38,51,3,49.32,6.85
34,39,52,3,55.44,7.7
35,40,53,3,55.44,7.7
36,41,54,3,27.72,11.05
37,42,55,3,21.6,10.2
38,43,56,3,55.09,4.5
39,44,57,3,66.99,0
40,45,58,3,61.22,5.35
41,46,59,3,27.72,11.05
42,47,60,3,5.78,5.35
43,48,61,3,11.55,7.7
44,49,62,3,5.78,5.35
45,50,63,4,21.6,10.2
46,51,64,4,49.32,6.85
47,52,65,4,55.44,7.7
48,53,66,4,55.44,7.7
49,54,67,4,27.72,11.05
50,55,68,4,21.6,10.2
51,56,69,4,55.09,4.5
52,57,70,4,66.99,0
53,58,71,4,61.22,5.35
54,59,72,4,27.72,11.05
55,60,73,4,5.78,5.35
56,61,74,4,11.55,7.7
57,62,75,4,5.78,5.35
58,63,76,5,21.6,10.2
59,64,77,5,49.32,6.85
60,65,78,5,55.44,7.7
61,66,79,5,55.44,7.7
62,67,80,5,27.72,11.05
63,68,81,5,21.6,10.2
64,69,82,5,55.09,4.5
65,70,83,5,66.99,0
66,71,84,5,61.22,5.35
67,72,85,5,27.72,11.05
68,73,86,5,5.78,5.35
69,74,87,5,11.55,7.7
70,75,88,5,5.78,5.35
71,76,89,6,21.6,10.2
72,77,90,6,49.32,6.85
73,78,91,6,55.44,7.7
74,79,92,6,55.44,7.7
75,80,93,6,27.72,11.05
76,81,94,6,21.6,10.2
77,82,95,6,55.09,4.5
78,83,96,6,66.99,0
79,84,97,6,61.22,5.35
80,85,98,6,27.72,11.05
81,86,99,6,5.78,5.35
82,87,100,6,11.55,7.7
83,88,101,6,5.78,5.35
84,89,102,7,21.6,10.2
85,90,103,7,49.32,6.85
86,91,104,7,55.44,7.7
87,92,105,7,55.44,7.7
88,93,106,7,27.72,11.05
89,94,107,7,21.6,10.2
90,95,108,7,55.09,4.5
91,96,109,7,66.99,0
92,97,110,7,61.22,5.35
93,98,111,7,27.72,11.05
94,99,112,7,5.78,5.35
95,100,113,7,11.55,7.7
96,101,114,7,5.78,5.35
97,102,115,8,21.6,10.2
98,103,116,8,49.32,6.85
99,104,117,8,55.44,7.7
100,105,118,8,55.44,7.7
101,106,119,8,27.72,11.05
102,107,120,8,21.6,10.2
103,108,121,8,55.09,4.5
104,109,122,8,66.99,0
105,110,123,8,61.22,5.35
106,111,124,8,27.72,11.05
107,112,125,8,5.78,5.35
108,113,126,8,11.55,7.7
109,114,127,8,5.78,5.35
