No.,i_point,j_point,phai,C,M,Q,category,story,W
1,1,2,1.2,35.640000000000008,53.460000000000015,17.82,BB,1,11.879999999999999
2,2,3,1.2,52.090499999999999,78.135750000000002,20.295000000000002,BB,1,10.542857142857143
3,3,4,1.2,52.090499999999878,78.135749999999817,20.294999999999966,BB,1,10.542857142857134
4,4,5,1.2,52.090500000000127,78.135750000000186,20.29500000000003,BB,1,10.54285714285715
5,1,6,1.2,41.580000000000013,62.370000000000019,17.325000000000003,BB,1,9.6250000000000018
6,6,11,1.2,41.580000000000013,62.370000000000019,17.325000000000003,BB,1,9.6250000000000018
7,11,16,1.2,137.17000000000002,205.75500000000002,35.475000000000001,BB,1,12.232758620689657
8,6,7,1.5,142.56000000000009,213.84000000000012,71.28000000000003,BB,1,47.52000000000001
9,7,8,1.5,182.95200000000011,274.42800000000017,71.28000000000003,BB,1,37.028571428571446
10,8,9,1.5,182.95199999999991,274.42799999999988,71.28000000000003,BB,1,37.028571428571475
11,9,10,1.5,182.95200000000023,274.42800000000034,71.28000000000003,BB,1,37.028571428571411
12,2,7,1.5,154.84425000000007,232.26637500000012,64.518437500000033,BB,1,35.843576388888906
13,7,12,1.5,154.84425000000007,232.26637500000012,64.518437500000033,BB,1,35.843576388888906
14,12,17,1.5,249.47129166666681,374.20693750000021,64.518437500000033,BB,1,22.247737068965531
15,11,12,1.5,242.98999999999998,364.48499999999996,121.49499999999996,BB,1,80.996666666666627
16,12,13,1.5,311.83716666666658,467.75574999999986,121.49499999999996,BB,1,63.114285714285693
17,13,14,1.5,311.83716666666629,467.75574999999947,121.49499999999996,BB,1,63.114285714285742
18,14,15,1.5,311.83716666666686,467.75575000000026,121.49499999999996,BB,1,63.114285714285643
19,3,8,1.5,195.65699999999981,293.48549999999972,81.523749999999907,BB,1,45.290972222222173
20,8,13,1.5,195.65699999999981,293.48549999999972,81.523749999999907,BB,1,45.290972222222173
21,13,18,1.5,315.22516666666633,472.83774999999946,81.523749999999907,BB,1,28.111637931034451
22,16,17,1.2,92.510000000000048,138.76500000000007,46.25500000000001,BB,1,30.83666666666667
23,17,18,1.2,118.7211666666667,178.08175000000006,46.25500000000001,BB,1,24.028571428571432
24,18,19,1.2,118.7211666666666,178.08174999999991,46.25500000000001,BB,1,24.028571428571453
25,19,20,1.2,118.7211666666668,178.0817500000002,46.25500000000001,BB,1,24.028571428571414
26,4,9,1.5,195.65700000000015,293.48550000000023,81.523750000000064,BB,1,45.290972222222258
27,9,14,1.5,195.65700000000015,293.48550000000023,81.523750000000064,BB,1,45.290972222222258
28,14,19,1.5,315.22516666666689,472.83775000000037,81.523750000000064,BB,1,28.111637931034505
29,5,10,1.2,48.914250000000038,73.371375000000057,20.380937500000016,BB,1,11.322743055555565
30,10,15,1.2,48.914250000000038,73.371375000000057,20.380937500000016,BB,1,11.322743055555565
31,15,20,1.2,158.63604166666673,237.95406250000008,41.026562500000011,BB,1,14.147090517241384
32,21,22,1.2,35.640000000000008,53.460000000000015,17.82,,2,11.879999999999999
33,22,23,1.2,52.090499999999999,78.135750000000002,20.295000000000002,,2,10.542857142857143
34,23,24,1.2,52.090499999999878,78.135749999999817,20.294999999999966,,2,10.542857142857134
35,24,25,1.2,52.090500000000127,78.135750000000186,20.29500000000003,,2,10.54285714285715
36,21,26,1.2,41.580000000000013,62.370000000000019,17.325000000000003,,2,9.6250000000000018
37,26,31,1.2,41.580000000000013,62.370000000000019,17.325000000000003,,2,9.6250000000000018
38,31,36,1.2,137.17000000000002,205.75500000000002,35.475000000000001,,2,12.232758620689657
39,26,27,1.5,142.56000000000009,213.84000000000012,71.28000000000003,,2,47.52000000000001
40,27,28,1.5,182.95200000000011,274.42800000000017,71.28000000000003,,2,37.028571428571446
41,28,29,1.5,182.95199999999991,274.42799999999988,71.28000000000003,,2,37.028571428571475
42,29,30,1.5,182.95200000000023,274.42800000000034,71.28000000000003,,2,37.028571428571411
43,22,27,1.5,154.84425000000007,232.26637500000012,64.518437500000033,,2,35.843576388888906
44,27,32,1.5,154.84425000000007,232.26637500000012,64.518437500000033,,2,35.843576388888906
45,32,37,1.5,249.47129166666681,374.20693750000021,64.518437500000033,,2,22.247737068965531
46,31,32,1.5,242.98999999999998,364.48499999999996,121.49499999999996,,2,80.996666666666627
47,32,33,1.5,311.83716666666658,467.75574999999986,121.49499999999996,,2,63.114285714285693
48,33,34,1.5,311.83716666666629,467.75574999999947,121.49499999999996,,2,63.114285714285742
49,34,35,1.5,311.83716666666686,467.75575000000026,121.49499999999996,,2,63.114285714285643
50,23,28,1.5,195.65699999999981,293.48549999999972,81.523749999999907,,2,45.290972222222173
51,28,33,1.5,195.65699999999981,293.48549999999972,81.523749999999907,,2,45.290972222222173
52,33,38,1.5,315.22516666666633,472.83774999999946,81.523749999999907,,2,28.111637931034451
53,36,37,1.2,92.510000000000048,138.76500000000007,46.25500000000001,,2,30.83666666666667
54,37,38,1.2,118.7211666666667,178.08175000000006,46.25500000000001,,2,24.028571428571432
55,38,39,1.2,118.7211666666666,178.08174999999991,46.25500000000001,,2,24.028571428571453
56,39,40,1.2,118.7211666666668,178.0817500000002,46.25500000000001,,2,24.028571428571414
57,24,29,1.5,195.65700000000015,293.48550000000023,81.523750000000064,,2,45.290972222222258
58,29,34,1.5,195.65700000000015,293.48550000000023,81.523750000000064,,2,45.290972222222258
59,34,39,1.5,315.22516666666689,472.83775000000037,81.523750000000064,,2,28.111637931034505
60,25,30,1.2,48.914250000000038,73.371375000000057,20.380937500000016,,2,11.322743055555565
61,30,35,1.2,48.914250000000038,73.371375000000057,20.380937500000016,,2,11.322743055555565
62,35,40,1.2,158.63604166666673,237.95406250000008,41.026562500000011,,2,14.147090517241384
63,41,42,1.2,35.640000000000008,53.460000000000015,17.82,,3,11.879999999999999
64,42,43,1.2,52.090499999999999,78.135750000000002,20.295000000000002,,3,10.542857142857143
65,43,44,1.2,52.090499999999878,78.135749999999817,20.294999999999966,,3,10.542857142857134
66,44,45,1.2,52.090500000000127,78.135750000000186,20.29500000000003,,3,10.54285714285715
67,41,46,1.2,41.580000000000013,62.370000000000019,17.325000000000003,,3,9.6250000000000018
68,46,51,1.2,41.580000000000013,62.370000000000019,17.325000000000003,,3,9.6250000000000018
69,51,56,1.2,137.17000000000002,205.75500000000002,35.475000000000001,,3,12.232758620689657
70,46,47,1.5,142.56000000000009,213.84000000000012,71.28000000000003,,3,47.52000000000001
71,47,48,1.5,182.95200000000011,274.42800000000017,71.28000000000003,,3,37.028571428571446
72,48,49,1.5,182.95199999999991,274.42799999999988,71.28000000000003,,3,37.028571428571475
73,49,50,1.5,182.95200000000023,274.42800000000034,71.28000000000003,,3,37.028571428571411
74,42,47,1.5,154.84425000000007,232.26637500000012,64.518437500000033,,3,35.843576388888906
75,47,52,1.5,154.84425000000007,232.26637500000012,64.518437500000033,,3,35.843576388888906
76,52,57,1.5,249.47129166666681,374.20693750000021,64.518437500000033,,3,22.247737068965531
77,51,52,1.5,242.98999999999998,364.48499999999996,121.49499999999996,,3,80.996666666666627
78,52,53,1.5,311.83716666666658,467.75574999999986,121.49499999999996,,3,63.114285714285693
79,53,54,1.5,311.83716666666629,467.75574999999947,121.49499999999996,,3,63.114285714285742
80,54,55,1.5,311.83716666666686,467.75575000000026,121.49499999999996,,3,63.114285714285643
81,43,48,1.5,195.65699999999981,293.48549999999972,81.523749999999907,,3,45.290972222222173
82,48,53,1.5,195.65699999999981,293.48549999999972,81.523749999999907,,3,45.290972222222173
83,53,58,1.5,315.22516666666633,472.83774999999946,81.523749999999907,,3,28.111637931034451
84,56,57,1.2,92.510000000000048,138.76500000000007,46.25500000000001,,3,30.83666666666667
85,57,58,1.2,118.7211666666667,178.08175000000006,46.25500000000001,,3,24.028571428571432
86,58,59,1.2,118.7211666666666,178.08174999999991,46.25500000000001,,3,24.028571428571453
87,59,60,1.2,118.7211666666668,178.0817500000002,46.25500000000001,,3,24.028571428571414
88,44,49,1.5,195.65700000000015,293.48550000000023,81.523750000000064,,3,45.290972222222258
89,49,54,1.5,195.65700000000015,293.48550000000023,81.523750000000064,,3,45.290972222222258
90,54,59,1.5,315.22516666666689,472.83775000000037,81.523750000000064,,3,28.111637931034505
91,45,50,1.2,48.914250000000038,73.371375000000057,20.380937500000016,,3,11.322743055555565
92,50,55,1.2,48.914250000000038,73.371375000000057,20.380937500000016,,3,11.322743055555565
93,55,60,1.2,158.63604166666673,237.95406250000008,41.026562500000011,,3,14.147090517241384
94,61,62,1.2,35.640000000000008,53.460000000000015,17.82,,4,11.879999999999999
95,62,63,1.2,52.090499999999999,78.135750000000002,20.295000000000002,,4,10.542857142857143
96,63,64,1.2,52.090499999999878,78.135749999999817,20.294999999999966,,4,10.542857142857134
97,64,65,1.2,52.090500000000127,78.135750000000186,20.29500000000003,,4,10.54285714285715
98,61,66,1.2,41.580000000000013,62.370000000000019,17.325000000000003,,4,9.6250000000000018
99,66,71,1.2,41.580000000000013,62.370000000000019,17.325000000000003,,4,9.6250000000000018
100,71,76,1.2,137.17000000000002,205.75500000000002,35.475000000000001,,4,12.232758620689657
101,66,67,1.5,142.56000000000009,213.84000000000012,71.28000000000003,,4,47.52000000000001
102,67,68,1.5,182.95200000000011,274.42800000000017,71.28000000000003,,4,37.028571428571446
103,68,69,1.5,182.95199999999991,274.42799999999988,71.28000000000003,,4,37.028571428571475
104,69,70,1.5,182.95200000000023,274.42800000000034,71.28000000000003,,4,37.028571428571411
105,62,67,1.5,154.84425000000007,232.26637500000012,64.518437500000033,,4,35.843576388888906
106,67,72,1.5,154.84425000000007,232.26637500000012,64.518437500000033,,4,35.843576388888906
107,72,77,1.5,249.47129166666681,374.20693750000021,64.518437500000033,,4,22.247737068965531
108,71,72,1.5,242.98999999999998,364.48499999999996,121.49499999999996,,4,80.996666666666627
109,72,73,1.5,311.83716666666658,467.75574999999986,121.49499999999996,,4,63.114285714285693
110,73,74,1.5,311.83716666666629,467.75574999999947,121.49499999999996,,4,63.114285714285742
111,74,75,1.5,311.83716666666686,467.75575000000026,121.49499999999996,,4,63.114285714285643
112,63,68,1.5,195.65699999999981,293.48549999999972,81.523749999999907,,4,45.290972222222173
113,68,73,1.5,195.65699999999981,293.48549999999972,81.523749999999907,,4,45.290972222222173
114,73,78,1.5,315.22516666666633,472.83774999999946,81.523749999999907,,4,28.111637931034451
115,76,77,1.2,92.510000000000048,138.76500000000007,46.25500000000001,,4,30.83666666666667
116,77,78,1.2,118.7211666666667,178.08175000000006,46.25500000000001,,4,24.028571428571432
117,78,79,1.2,118.7211666666666,178.08174999999991,46.25500000000001,,4,24.028571428571453
118,79,80,1.2,118.7211666666668,178.0817500000002,46.25500000000001,,4,24.028571428571414
119,64,69,1.5,195.65700000000015,293.48550000000023,81.523750000000064,,4,45.290972222222258
120,69,74,1.5,195.65700000000015,293.48550000000023,81.523750000000064,,4,45.290972222222258
