No.,i_point,j_point,story
1,1,21,1
2,21,41,2
3,41,61,3
4,61,81,4
5,81,101,5
6,101,121,6
7,121,141,7
8,141,161,8
9,2,22,1
10,22,42,2
11,42,62,3
12,62,82,4
13,82,102,5
14,102,122,6
15,122,142,7
16,142,162,8
17,3,23,1
18,23,43,2
19,43,63,3
20,63,83,4
21,83,103,5
22,103,123,6
23,123,143,7
24,143,163,8
25,4,24,1
26,24,44,2
27,44,64,3
28,64,84,4
29,84,104,5
30,104,124,6
31,124,144,7
32,144,164,8
33,5,25,1
34,25,45,2
35,45,65,3
36,65,85,4
37,85,105,5
38,105,125,6
39,125,145,7
40,145,165,8
41,6,26,1
42,26,46,2
43,46,66,3
44,66,86,4
45,86,106,5
46,106,126,6
47,126,146,7
48,146,166,8
49,7,27,1
50,27,47,2
51,47,67,3
52,67,87,4
53,87,107,5
54,107,127,6
55,127,147,7
56,147,167,8
57,8,28,1
58,28,48,2
59,48,68,3
60,68,88,4
61,88,108,5
62,108,128,6
63,128,148,7
64,148,168,8
65,9,29,1
66,29,49,2
67,49,69,3
68,69,89,4
69,89,109,5
70,109,129,6
71,129,149,7
72,149,169,8
73,10,30,1
74,30,50,2
75,50,70,3
76,70,90,4
77,90,110,5
78,110,130,6
79,130,150,7
80,150,170,8
81,11,31,1
82,31,51,2
83,51,71,3
84,71,91,4
85,91,111,5
86,111,131,6
87,131,151,7
88,151,171,8
89,12,32,1
90,32,52,2
91,52,72,3
92,72,92,4
93,92,112,5
94,112,132,6
95,132,152,7
96,152,172,8
97,13,33,1
98,33,53,2
99,53,73,3
100,73,93,4
101,93,113,5
102,113,133,6
103,133,153,7
104,153,173,8
105,14,34,1
106,34,54,2
107,54,74,3
108,74,94,4
109,94,114,5
110,114,134,6
111,134,154,7
112,154,174,8
113,15,35,1
114,35,55,2
115,55,75,3
116,75,95,4
117,95,115,5
118,115,135,6
119,135,155,7
120,155,175,8
121,16,36,1
122,36,56,2
123,56,76,3
124,76,96,4
125,96,116,5
126,116,136,6
127,136,156,7
128,156,176,8
129,17,37,1
130,37,57,2
131,57,77,3
132,77,97,4
133,97,117,5
134,117,137,6
135,137,157,7
136,157,177,8
137,18,38,1
138,38,58,2
139,58,78,3
140,78,98,4
141,98,118,5
142,118,138,6
143,138,158,7
144,158,178,8
145,19,39,1
146,39,59,2
147,59,79,3
148,79,99,4
149,99,119,5
150,119,139,6
151,139,159,7
152,159,179,8
153,20,40,1
154,40,60,2
155,60,80,3
156,80,100,4
157,100,120,5
158,120,140,6
159,140,160,7
160,160,180,8
