no,i_point,j_point,phi,phi2,C,M,Q,category,story,boundary_i,boundary_j
1,111,116,1.2,1.3,136.58625000000004,216.27000000000004,143.37,BB,1,fix,fix
2,112,117,1.3999999999999999,1.6000000000000001,262.44000000000005,419.90400000000005,174.96000000000001,BB,1,fix,fix
3,113,118,1.3999999999999999,1.6000000000000001,262.44000000000005,419.90400000000005,174.96000000000001,BB,1,fix,fix
4,114,119,1.3999999999999999,1.6000000000000001,262.44000000000005,419.90400000000005,174.96000000000001,BB,1,fix,fix
5,115,120,1.2,1.3,140.94000000000003,224.53200000000004,95.579999999999998,BB,1,fix,fix
6,96,82,1.2,1.3,146.30625000000003,230.85000000000002,101.25,,2,fix,fix
7,97,84,1.3999999999999999,1.6000000000000001,262.44000000000005,419.90400000000005,174.96000000000001,,2,fix,fix
8,98,86,1.3999999999999999,1.6000000000000001,262.44000000000005,419.90400000000005,174.96000000000001,,2,fix,fix
9,99,88,1.3999999999999999,1.6000000000000001,262.44000000000005,419.90400000000005,174.96000000000001,,2,fix,fix
10,100,90,1.2,1.3,143.37,229.39200000000002,95.579999999999998,,2,fix,fix
11,135,140,1.2,1.3,512.93744059606502,794.47188333333361,178.71700000000007,,9,fix,fix
12,134,139,1.3999999999999999,1.6000000000000001,684.28800000000012,1094.8608000000002,228.09600000000003,,9,fix,fix
13,133,138,1.3999999999999999,1.6000000000000001,684.28800000000012,1094.8608000000002,228.09600000000003,,9,fix,fix
14,132,137,1.3999999999999999,1.6000000000000001,933.65444059606511,1439.1598833333339,329.19700000000012,,9,fix,fix
15,131,136,1.2,1.3,420.7170000000001,644.68800000000022,150.48000000000005,,9,fix,fix
16,5,10,1.2,1.3,495.45093693938094,767.38761458333352,172.62437500000001,,8,fix,fix
17,4,9,1.3999999999999999,1.6000000000000001,1321.9200000000001,2115.0720000000001,440.64000000000004,,8,fix,fix
18,3,8,1.3999999999999999,1.6000000000000001,1321.9200000000001,2115.0720000000001,440.64000000000004,,8,fix,fix
19,2,7,1.3999999999999999,1.6000000000000001,901.82531193938098,1390.0976145833336,317.97437500000001,,8,fix,fix
20,17,22,1.3999999999999999,1.6000000000000001,901.82531193938098,1390.0976145833336,317.97437500000001,,7,fix,fix
21,1,6,1.2,1.3,406.3743750000001,622.71000000000015,145.35000000000002,,8,fix,fix
22,20,25,1.2,1.3,495.45093693938094,767.38761458333352,172.62437500000001,,7,fix,fix
23,19,24,1.3999999999999999,1.6000000000000001,660.96000000000015,1057.5360000000003,220.32000000000002,,7,fix,fix
24,18,23,1.3999999999999999,1.6000000000000001,1321.9200000000001,2115.0720000000001,440.64000000000004,,7,fix,fix
25,16,21,1.2,1.3,406.3743750000001,622.71000000000015,145.35000000000002,,7,fix,fix
26,35,40,1.2,1.3,495.45093693938094,767.38761458333352,172.62437500000001,,6,fix,fix
27,34,39,1.3999999999999999,1.6000000000000001,660.96000000000015,1057.5360000000003,220.32000000000002,,6,fix,fix
28,33,38,1.3999999999999999,1.6000000000000001,1321.9200000000001,2115.0720000000001,440.64000000000004,,6,fix,fix
29,32,37,1.3999999999999999,1.6000000000000001,901.82531193938098,1390.0976145833336,317.97437500000001,,6,fix,fix
30,31,36,1.2,1.3,406.3743750000001,622.71000000000015,145.35000000000002,,6,fix,fix
31,50,55,1.2,1.3,495.45093693938094,767.38761458333352,172.62437500000001,,5,fix,fix
32,49,54,1.3999999999999999,1.6000000000000001,1321.9200000000001,2115.0720000000001,440.64000000000004,,5,fix,fix
33,48,53,1.3999999999999999,1.6000000000000001,1321.9200000000001,2115.0720000000001,440.64000000000004,,5,fix,fix
34,47,52,1.3999999999999999,1.6000000000000001,660.96000000000015,1057.5360000000003,220.32000000000002,,5,fix,fix
35,46,51,1.2,1.3,406.3743750000001,622.71000000000015,145.35000000000002,,5,fix,fix
36,65,70,1.2,1.3,489.62210238715289,758.35952500000019,170.59350000000003,,4,fix,fix
37,64,69,1.3999999999999999,1.6000000000000001,653.18400000000008,1045.0944000000002,217.72800000000001,,4,fix,fix
38,63,68,1.3999999999999999,1.6000000000000001,653.18400000000008,1045.0944000000002,217.72800000000001,,4,fix,fix
39,62,67,1.3999999999999999,1.6000000000000001,891.21560238715301,1373.7435250000003,314.23350000000005,,4,fix,fix
40,61,66,1.2,1.3,401.59350000000012,615.38400000000024,143.64000000000004,,4,fix,fix
41,80,89,1.2,1.3,547.91044790943306,848.64042083333356,190.90225000000004,,3,fix,fix
42,79,87,1.3999999999999999,1.6000000000000001,1461.8880000000001,2339.0208000000007,487.29600000000005,,3,fix,fix
43,78,85,1.3999999999999999,1.6000000000000001,1461.8880000000001,2339.0208000000007,487.29600000000005,,3,fix,fix
44,77,83,1.3999999999999999,1.6000000000000001,997.31269790943315,1537.2844208333338,351.6422500000001,,3,fix,fix
45,76,81,1.2,1.3,449.40225000000009,688.64400000000023,160.74000000000004,,3,fix,fix
