no,i_point,j_point,story,load_area
1,1,131,8,21.600000000000005
2,2,132,8,49.320000000000014
3,3,133,8,55.439999999999969
4,4,134,8,55.440000000000019
5,5,135,8,27.72000000000001
6,6,136,8,26.100000000000001
7,7,137,8,59.595000000000006
8,8,138,8,66.989999999999952
9,9,139,8,66.990000000000023
10,10,140,8,33.495000000000012
11,11,141,8,4.5000000000000009
12,12,142,8,10.275000000000002
13,13,143,8,11.549999999999994
14,14,144,8,11.550000000000004
15,15,145,8,5.7750000000000021
16,16,1,7,21.600000000000005
17,17,2,7,49.320000000000014
18,18,3,7,55.439999999999969
19,19,4,7,55.440000000000019
20,20,5,7,27.72000000000001
21,21,6,7,26.100000000000001
22,22,7,7,59.595000000000006
23,23,8,7,66.989999999999952
24,24,9,7,66.990000000000023
25,25,10,7,33.495000000000012
26,26,11,7,4.5000000000000009
27,27,12,7,10.275000000000002
28,28,13,7,11.549999999999994
29,29,14,7,11.550000000000004
30,30,15,7,5.7750000000000021
31,31,16,6,21.600000000000005
32,32,17,6,49.320000000000014
33,33,18,6,55.439999999999969
34,34,19,6,55.440000000000019
35,35,20,6,27.72000000000001
36,36,21,6,26.100000000000001
37,37,22,6,59.595000000000006
38,38,23,6,66.989999999999952
39,39,24,6,66.990000000000023
40,40,25,6,33.495000000000012
41,41,26,6,4.5000000000000009
42,42,27,6,10.275000000000002
43,43,28,6,11.549999999999994
44,44,29,6,11.550000000000004
45,45,30,6,5.7750000000000021
46,46,31,5,21.600000000000005
47,47,32,5,49.320000000000014
48,48,33,5,55.439999999999969
49,49,34,5,55.440000000000019
50,50,35,5,27.72000000000001
51,51,36,5,26.100000000000001
52,52,37,5,59.595000000000006
53,53,38,5,66.989999999999952
54,54,39,5,66.990000000000023
55,55,40,5,33.495000000000012
56,56,41,5,4.5000000000000009
57,57,42,5,10.275000000000002
58,58,43,5,11.549999999999994
59,59,44,5,11.550000000000004
60,60,45,5,5.7750000000000021
61,61,46,4,21.600000000000005
62,62,47,4,49.320000000000014
63,63,48,4,55.439999999999969
64,64,49,4,55.440000000000019
65,65,50,4,27.72000000000001
66,66,51,4,26.100000000000001
67,67,52,4,59.595000000000006
68,68,53,4,66.989999999999952
69,69,54,4,66.990000000000023
70,70,55,4,33.495000000000012
71,71,56,4,4.5000000000000009
72,72,57,4,10.275000000000002
73,73,58,4,11.549999999999994
74,74,59,4,11.550000000000004
75,75,60,4,5.7750000000000021
76,76,61,3,21.600000000000005
77,77,62,3,49.320000000000014
78,78,63,3,55.439999999999969
79,79,64,3,55.440000000000019
80,80,65,3,27.72000000000001
81,81,66,3,26.100000000000001
82,83,67,3,59.595000000000006
83,85,68,3,66.989999999999952
84,87,69,3,66.990000000000023
85,89,70,3,33.495000000000012
86,91,71,3,4.5000000000000009
87,92,72,3,10.275000000000002
88,93,73,3,11.549999999999994
89,94,74,3,11.550000000000004
90,95,75,3,5.7750000000000021
91,96,76,2,21.600000000000005
92,97,77,2,49.320000000000014
93,98,78,2,55.439999999999969
94,99,79,2,55.440000000000019
95,100,80,2,27.72000000000001
96,101,81,2,26.100000000000001
97,102,83,2,59.595000000000006
98,103,85,2,66.989999999999952
99,104,87,2,66.990000000000023
100,105,89,2,33.495000000000012
101,106,91,2,4.5000000000000009
102,107,92,2,10.275000000000002
103,108,93,2,11.549999999999994
104,109,94,2,11.550000000000004
105,110,95,2,5.7750000000000021
106,111,96,1,10.800000000000002
107,112,97,1,24.660000000000007
108,113,98,1,27.719999999999985
109,114,99,1,27.72000000000001
110,115,100,1,13.860000000000005
111,116,82,1,21.600000000000005
112,117,84,1,49.320000000000014
113,118,86,1,55.439999999999976
114,119,88,1,55.440000000000026
115,120,90,1,27.720000000000013
116,121,101,1,15.299999999999995
117,122,102,1,34.934999999999995
118,123,103,1,39.26999999999996
119,124,104,1,39.269999999999996
120,125,105,1,19.634999999999998
121,126,106,1,4.5000000000000009
122,127,107,1,10.275000000000002
123,128,108,1,11.549999999999994
124,129,109,1,11.550000000000004
125,130,110,1,5.7750000000000021
