<beam_data>
No,i,j,length,I,K,phai,stiff_ratio,Ci,Cj,category,direction,story,M0,Q0,unit_weight,weight,Z,Zp,B,H,t1,t2,init_group,Mp,M_Lx,M_Lx0,M_Ly,M_Ly0,M_Sx,M_Sy,Q_Lx,Q_Ly,Q_Sx,Q_Sy,N_Lx,N_Ly,N_Sx,N_Sy,ML,QL,Ms,Qs
1,1,2,6.0,0,13.10569106,1.2,0.1310569106,87.48000000000003,87.48000000000003,BB,X,1,131.22000000000003,43.74,0,0,0,0,0,0,0,0,[],[],[-25.36727317 115.23761311],0,[],[],"[0, 0]","[0, 0]","[28.76161000992424, 58.718389990075764]",[],0.0,0.0,[],[],[],[],115.23761311322365,28.76161000992424,115.23761311322365,58.718389990075764
2,2,3,7.699999999999999,0,13.10569106,1.2,0.1310569106,127.8585,127.8585,BB,X,1,191.78775,49.815000000000005,0,0,0,0,0,0,0,0,[],[],[-134.78048998  120.61202064],0,[],[],"[0, 0]","[0, 0]","[51.65506095388254, 47.97493904611747]",[],0.0,0.0,[],[],[],[],134.78048998189308,51.65506095388254,134.78048998189308,51.65506095388254
3,3,4,7.699999999999999,0,13.10569106,1.2,0.1310569106,127.85849999999972,127.85849999999972,BB,X,1,191.7877499999996,49.81499999999992,0,0,0,0,0,0,0,0,[],[],[-116.92350001  157.29946871],0,[],[],"[0, 0]","[0, 0]","[44.57136770130502, 55.05863229869482]",[],0.0,0.0,[],[],[],[],157.29946871467078,44.57136770130502,157.29946871467078,55.05863229869482
4,4,5,7.700000000000003,0,13.10569106,1.2,0.1310569106,127.85850000000032,127.85850000000032,BB,X,1,191.78775000000047,49.81500000000008,0,0,0,0,0,0,0,0,[],[],[-149.96113811   35.70628633],0,[],[],"[0, 0]","[0, 0]","[64.65329243877545, 34.976707561224714]",[],0.0,0.0,[],[],[],[],149.96113811150298,64.65329243877545,149.96113811150298,64.65329243877545
5,1,6,7.2,0,13.10569106,1.2,0.1310569106,102.06000000000002,102.06000000000002,BB,Y,1,153.09000000000003,42.525000000000006,0,0,0,0,0,0,0,0,[],[],[],[],[-24.24597682 128.02916005],0,"[0, 0]","[0, 0]",[],"[28.110668996387894, 56.93933100361212]",0.0,0.0,[],[],[],[],128.02916004533884,28.110668996387894,128.02916004533884,56.93933100361212
6,6,11,7.2,0,13.10569106,1.2,0.1310569106,102.06000000000002,102.06000000000002,BB,Y,1,153.09000000000003,42.525000000000006,0,0,0,0,0,0,0,0,[],[],[],[],[-129.69445739   72.6667883 ],0,"[0, 0]","[0, 0]",[],"[50.44550959549796, 34.60449040450205]",0.0,0.0,[],[],[],[],129.69445739252532,50.44550959549796,129.69445739252532,50.44550959549796
7,11,16,2.9999999999999982,0,13.10569106,1.2,0.1310569106,35.94374999999998,35.94374999999998,BB,Y,1,53.91562499999997,35.94375,0,0,0,0,0,0,0,0,[],[],[],[],[-63.38362184  12.21597231],0,"[0, 0]","[0, 0]",[],"[52.99963317547912, 18.887866824520884]",0.0,0.0,[],[],[],[],63.38362184134394,52.99963317547912,63.38362184134394,52.99963317547912
8,6,7,6.0,0,13.10569106,1.5,0.1310569106,349.92000000000024,349.92000000000024,BB,X,1,524.8800000000003,174.96000000000006,0,0,0,0,0,0,0,0,[],[],[-97.40478758 443.01056496],0,[],[],"[0, 0]","[0, 0]","[117.35903710332076, 232.56096289667937]",[],0.0,0.0,[],[],[],[],443.0105649552707,117.35903710332076,443.0105649552707,232.56096289667937
9,7,8,7.699999999999999,0,13.10569106,1.5,0.1310569106,449.06400000000014,449.06400000000014,BB,X,1,673.5960000000001,174.96000000000006,0,0,0,0,0,0,0,0,[],[],[-499.48322167  414.55963917],0,[],[],"[0, 0]","[0, 0]","[185.98903668828657, 163.93096331171355]",[],0.0,0.0,[],[],[],[],499.483221671357,185.98903668828657,499.483221671357,185.98903668828657
10,8,9,7.699999999999999,0,13.10569106,1.5,0.1310569106,449.06399999999974,449.06399999999974,BB,X,1,673.5959999999997,174.96000000000006,0,0,0,0,0,0,0,0,[],[],[-405.32400006  555.13349987],0,[],[],"[0, 0]","[0, 0]","[155.50422080285807, 194.41577919714206]",[],0.0,0.0,[],[],[],[],555.1334998738425,155.50422080285807,555.1334998738425,194.41577919714206
11,9,10,7.700000000000003,0,13.10569106,1.5,0.1310569106,449.0640000000005,449.0640000000005,BB,X,1,673.5960000000008,174.96000000000006,0,0,0,0,0,0,0,0,[],[],[-527.650964   123.4910722],0,[],[],"[0, 0]","[0, 0]","[227.448297636058, 122.47170236394214]",[],0.0,0.0,[],[],[],[],527.6509639980375,227.448297636058,527.6509639980375,227.448297636058
12,2,7,7.2,0,13.10569106,1.5,0.1310569106,380.07225000000017,380.07225000000017,BB,Y,1,570.1083750000003,158.36343750000006,0,0,0,0,0,0,0,0,[],[],[],[],[-90.46743349 473.87424231],0,"[0, 0]","[0, 0]",[],"[105.11249183149165, 211.61438316850848]",0.0,0.0,[],[],[],[],473.87424230559077,105.11249183149165,473.87424230559077,211.61438316850848
13,7,12,7.2,0,13.10569106,1.5,0.1310569106,380.07225000000017,380.07225000000017,BB,Y,1,570.1083750000003,158.36343750000006,0,0,0,0,0,0,0,0,[],[],[],[],[-475.96338278  290.29081633],0,"[0, 0]","[0, 0]",[],"[184.15129395089372, 132.5755810491064]",0.0,0.0,[],[],[],[],475.96338278097454,184.15129395089372,475.96338278097454,184.15129395089372
14,12,17,2.9999999999999982,0,13.10569106,1.5,0.1310569106,163.93218749999994,163.93218749999994,BB,Y,1,245.8982812499999,163.93218750000003,0,0,0,0,0,0,0,0,[],[],[],[],[-263.91429995   47.63969715],0,"[0, 0]","[0, 0]",[],"[236.02372176761676, 91.84065323238329]",0.0,0.0,[],[],[],[],263.91429995093176,236.02372176761676,263.91429995093176,236.02372176761676
15,11,12,6.0,0,13.10569106,1.5,0.1310569106,175.5674999999999,175.5674999999999,BB,X,1,263.3512499999999,87.78374999999993,0,0,0,0,0,0,0,0,[],[],[-48.87149932 222.27439804],0,[],[],"[0, 0]","[0, 0]","[58.88326687996468, 116.68423312003517]",[],0.0,0.0,[],[],[],[],222.27439804179357,58.88326687996468,222.27439804179357,116.68423312003517
16,12,13,7.699999999999999,0,13.10569106,1.5,0.1310569106,225.31162499999985,225.31162499999985,BB,X,1,337.96743749999973,87.78374999999993,0,0,0,0,0,0,0,0,[],[],[-250.60876921  207.99954118],0,[],[],"[0, 0]","[0, 0]","[93.31741597728256, 82.25008402271729]",[],0.0,0.0,[],[],[],[],250.60876920663543,93.31741597728256,250.60876920663543,93.31741597728256
17,13,14,7.699999999999999,0,13.10569106,1.5,0.1310569106,225.3116249999996,225.3116249999996,BB,X,1,337.96743749999945,87.78374999999993,0,0,0,0,0,0,0,0,[],[],[-203.36568753  278.53052337],0,[],[],"[0, 0]","[0, 0]","[78.02208300698946, 97.54541699301039]",[],0.0,0.0,[],[],[],[],278.53052337420195,78.02208300698946,278.53052337420195,97.54541699301039
